CNPJ;Nome;Site;Perfil;Código
00338748000107;REAL CAPITALIZACAO S/A;;SEGMENTO BALCÃO;54919.00-6
00338948000151;E.H. FILMES LTDA;;SEGMENTO BALCÃO;33359.44-3
00346750000110;NECTON FUNDO DE INVESTIMENTO MULTIMERCADO;;SEGMENTO BALCÃO;37816.00-9
00350763000162;JEF INVESTIMENTOS S.A.;;SEGMENTO BALCÃO;16338.41-2
00354053000100;LOJAS ARAPUA S.A.;;SEGMENTO BALCÃO;32679.41-6
00355861000192;SUPERINSPECT LTDA;www.superinspect.com.br;SUPERVISORA DE QUALIDADE;7501
00357038000116;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE;;SEGMENTO BALCÃO;37991.40-5
00359742000108;INEPAR TELECOMUNICACOES S/A;;SEGMENTO BALCÃO;36129.43-6
00360305000104;CAIXA ECONOMICA FEDERAL;;AGENTE DE CUSTÓDIA;570
00360305000104;CAIXA ECONOMICA FEDERAL;;CUSTODIANTE BALCÃO;1570
00360305000104;CAIXA ECONOMICA FEDERAL;;EMITENTE DE GARANTIAS;10155
00360305000104;CAIXA ECONOMICA FEDERAL;;ESCRITURADOR;1570
00360305000104;CAIXA ECONOMICA FEDERAL;;GESTOR;1570
00360305000104;CAIXA ECONOMICA FEDERAL;;LIQUIDANTE;1570
00360305000104;CAIXA ECONOMICA FEDERAL;;MEMBRO DE COMPENSAÇÃO DE CÂMBIO;570
00360305000104;CAIXA ECONOMICA FEDERAL;;PARTICIPANTE DE BALCÃO;1570
00360305000104;CAIXA ECONOMICA FEDERAL;;PARTICIPANTE DE NEGOCIAÇÃO;570
00360305000104;CAIXA ECONOMICA FEDERAL;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;71040.00-6
00360459000104;DOCUMENTA PRODUCOES LTDA;;SEGMENTO BALCÃO;38729.44-9
00366402000104;FUNDACAO ITAUSA INDUSTRIAL;;SEGMENTO BALCÃO;68659.70-9
00374856000127;UNIPREV FUNDACAO UNIFENAS DE PREVIDENCIA PRIVADA;;SEGMENTO BALCÃO;83729.70-0
00375972000160;INST.NAC.DE COLONIZ.E REF.AGRARIA-INCRA;;SEGMENTO BALCÃO;27129.00-5
00378257000181;FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;;SEGMENTO BALCÃO;17458.00-9
00383281000109;BNDES PARTICIPACOES S/A - BNDESPAR;;SEGMENTO BALCÃO;16007.00-4
00384261000152;ITAU FUNDO MULTIPATROCINADO;;SEGMENTO BALCÃO;09736.72-2
00389481000179;LM TRANSPORTES INTERESTADUAIS SERVICOS E COMERCIO S.A.;;SEGMENTO BALCÃO;24464.40-2
00394460040950;SECRETARIA DO TESOURO NACIONAL - STN;;SEGMENTO BALCÃO;27019.00-5
00397695000197;FUND DE ASSIST E PREV SOCIAL DO BNDES -FAPES;;GESTOR;3115
00397695000197;FUND DE ASSIST E PREV SOCIAL DO BNDES -FAPES;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;26909.70-7
00400490000113;PORTO SEGURO MACRO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO MULTIMERCADO;;SEGMENTO BALCÃO;10293.00-3
00409834000155;PRIME INCORPORACOES E CONSTRUCOES S/A;;SEGMENTO BALCÃO;23333.40-0
00411939000149;FINAMAX SA CREDITO FINANCIAMENTO E INVEST;;CUSTODIANTE BALCÃO;20941
00411939000149;FINAMAX SA CREDITO FINANCIAMENTO E INVEST;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;10705.00-3
00416968000101;BANCO INTER S/A;;CUSTODIANTE BALCÃO;3606
00416968000101;BANCO INTER S/A;;EMITENTE DE GARANTIAS;10077
00416968000101;BANCO INTER S/A;;LIQUIDANTE;3606
00416968000101;BANCO INTER S/A;;MEMBRO DE COMPENSAÇÃO;3606
00416968000101;BANCO INTER S/A;;MEMBRO DE COMPENSAÇÃO DE CÂMBIO;55262
00416968000101;BANCO INTER S/A;;PARTICIPANTE DE BALCÃO;3606
00416968000101;BANCO INTER S/A;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;10685.00-6
00426485000180;NOVA AMERICA ARMAZENS GERAIS LTDA;;PARTICIPANTE DEPOSITÁRIO AGRÍCOLA;8096
00429890000151;COOPERATIVA DE CREDITO CREDIAGRO LTDA;;SEGMENTO BALCÃO;06556.00-8
00436923000190;FUNDACAO DOS ECONOMIARIOS FEDERAIS-FUNCEF;www.funcef.com.br;GESTOR;909
00436923000190;FUNDACAO DOS ECONOMIARIOS FEDERAIS-FUNCEF;www.funcef.com.br;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;26829.70-8
00445787000103;CINE CINEMATROGRAFICA S/C LTDA;;SEGMENTO BALCÃO;00237.44-0
00446918000169;ALPHAVILLE URBANISMO S/A.;;SEGMENTO BALCÃO;18463.40-2
00450821000120;MAXIHEDGING FDO INVEST.ACOES.CART. LIVRE;;SEGMENTO BALCÃO;19298.00-9
00460065000110;COLUNA S/A DTVM;;SEGMENTO BALCÃO;14353.00-4
00463569000193;BRADESCO PRIVATE FUNDO DE INVESTIMENTO EM ACOES IBOVESPA ALAVANCADO;;SEGMENTO BALCÃO;08273.00-4
00469585000193;FACEB-FUNDACAO DE ASSIST EMPREGADOS DA CEB;;GESTOR;20706
00469585000193;FACEB-FUNDACAO DE ASSIST EMPREGADOS DA CEB;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;25979.70-7
00487854000144;SIRINO & MACHADO LTDA;;SEGMENTO BALCÃO;34509.44-3
00493916000120;FUNDACAO SISTEL DE SEGURIDADE SOCIAL;;SEGMENTO BALCÃO;26999.70-0
00494427000193;INSTITUTO ADVENTISTA DE JUBILACAO E ASSISTENCIA;;SEGMENTO BALCÃO;68359.77-9
00499424000142;ACESA PRODUCOES I LTDA;;SEGMENTO BALCÃO;39549.44-6
00512839000109;COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS SERVIDORES DO SEMASA - SICOOB CECRESA;;SEGMENTO BALCÃO;31911.00-3
00517645000104;BANCO RIBEIRAO PRETO S/A;;CUSTODIANTE BALCÃO;10741
00517645000104;BANCO RIBEIRAO PRETO S/A;;PARTICIPANTE DE BALCÃO;10741
00517645000104;BANCO RIBEIRAO PRETO S/A;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;77410.00-1
00529784000140;INSTITUTO GEIPREV DE SEGURIDADE SOCIAL;;GESTOR;20709
00529784000140;INSTITUTO GEIPREV DE SEGURIDADE SOCIAL;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;25869.70-7
00529828000131;ACESITA PREVIDENCIA PRIVADA;;GESTOR;20710
00529828000131;ACESITA PREVIDENCIA PRIVADA;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;00716.70-3
00529958000174;FIPECQ- F P C DOS EMP OU SERV DA FINEP IPEA CNPQ INPE E INPA;;GESTOR;20711
00529958000174;FIPECQ- F P C DOS EMP OU SERV DA FINEP IPEA CNPQ INPE E INPA;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;25889.70-1
00531590000189;INST. CONAB DE SEGURIDADE SOCIAL - CIBRIUS;;GESTOR;20712
00531590000189;INST. CONAB DE SEGURIDADE SOCIAL - CIBRIUS;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;27309.71-5
00532804000131;CERES - FUNDACAO DE SEGURIDADE SOCIAL;www.ceres.org.br;GESTOR;585
00532804000131;CERES - FUNDACAO DE SEGURIDADE SOCIAL;www.ceres.org.br;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;27029.70-3
00533944000124;TEMPO CAPITAL GESTAO DE RECURSOS LTDA;;GESTOR;4863
00535681000192;COMPANHIA PARANAENSE DE GAS COMPAGAS;;SEGMENTO BALCÃO;28675.40-0
00543968000164;CCECM DAS UNICREDS DE SC E  DO PR LTDA - UNICRED CENTRAL SC/PR;;SEGMENTO BALCÃO;04075.00-0
00544659000109;BB PREVIDENCIA FUNDO DE PENSAO DO BANCO DO BRASIL;;SEGMENTO BALCÃO;20009.00-5
00545378000170;SERRA AZUL WATER PARK S/A;;SEGMENTO BALCÃO;31729.41-5
00550644000153;PREVIP SOCIEDADE DE PREVIDENCIA COMPLEMENTAR;;SEGMENTO BALCÃO;21125.70-6
00556603000174;BARIGUI S/A CREDITO FINANC E INVESTIMENTOS;;CUSTODIANTE BALCÃO;8528
00556603000174;BARIGUI S/A CREDITO FINANC E INVESTIMENTOS;;PARTICIPANTE DE BALCÃO;8528
00556603000174;BARIGUI S/A CREDITO FINANC E INVESTIMENTOS;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;10695.00-3
00558456000171;BANCO CETELEM S/A;;CUSTODIANTE BALCÃO;3712
00558456000171;BANCO CETELEM S/A;;PARTICIPANTE DE BALCÃO;3712
00558456000171;BANCO CETELEM S/A;;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;07390.00-5
00565447000108;QUICK SOFT TECNOLOGIA DA INFORMACAO LTDA;;SEGMENTO BALCÃO;37893.40-0
00568159000107;MAURICIO APPEL PROMOCAO ARTISTICA E CULTURAL LTDA;;SEGMENTO BALCÃO;33319.44-5
00571135000107;VEXTY;;SEGMENTO BALCÃO;01295.70-4
00575922000127;ALFA ACOES PREMIUM - FUNDO DE INVESTIMENTO EM ACOES;;SEGMENTO BALCÃO;07337.00-6
00576685000119;PREVINDUS ASSOCIACAO DE PREVIDENCIA COMPLEMENTAR;;SEGMENTO BALCÃO;28746.70-0
00580481000151;FUNDACAO ASSISTENCIAL DOS EMPREGADOS DA CESAN-FAECES;;SEGMENTO BALCÃO;68399.70-8
00580571000142;FUNDACAO BCO CENTRAL DE PREV PRIV CENTRUS;www.centrus.org.br;PARTICIPANTE DE BALCÃO;4872
00580571000142;FUNDACAO BCO CENTRAL DE PREV PRIV CENTRUS;www.centrus.org.br;SEGMENTO BALCÃO,PARTICIPANTE DE CCP;26899.70-7
